Temperature,A3,B3,C3,D3,E3,F3,G3,H3
85.1,9.521461327,3.128671605,10.94452032,14.06230412,9.890960242,9.351053404,8.448795508,5.648007562
85.2,5.664413115,3.000654767,13.03805606,11.97059288,7.692110458,8.760214921,6.852665228,3.420931293
85.3,2.949124937,5.131296902,12.51525836,10.54790618,5.975048699,7.496422338,6.921526277,2.380261379
85.4,3.551805408,8.404075897,12.90474914,10.79832532,5.185589994,5.589260268,5.323643153,3.615601573
85.5,3.390436385,9.058823785,12.95041461,10.76527645,5.532882374,6.146520973,5.393742182,2.954354698
85.6,5.103594203,9.698116696,10.77960152,10.21406048,8.784133435,7.819967828,6.960052659,3.77839254
85.7,7.00324484,9.008174785,9.19075541,11.40889179,12.1213798,11.24421021,9.466328312,5.723786775
85.8,8.056975209,6.017304842,10.60569753,14.14934555,14.11095334,13.56167788,9.448258639,6.366518339
85.9,9.698051221,5.671771271,12.83390585,12.96806488,15.35172998,13.13098255,9.887730814,7.505449384
86,9.868877225,7.747410316,14.96169698,11.59309213,15.06922199,11.61141934,10.46232274,7.705496025
86.1,8.335223981,8.178791582,15.09041903,13.5070162,13.5512521,10.00437255,9.086691143,6.711495558
86.2,8.278309341,9.524011015,13.64477854,12.38040239,9.98419874,6.182654483,6.504569186,6.888207797
86.3,8.419054867,11.47788899,11.69533137,8.954256989,7.075261303,5.723168227,5.60796994,6.171002625
86.4,5.629298377,8.533919617,7.758629473,9.51615606,5.715520021,9.096946467,5.932822366,3.593774766
86.5,2.613309678,6.134071308,5.096326402,9.204550021,5.498602125,12.4439794,4.84592993,3.089639855
86.6,1.034500796,5.209329967,4.312039285,4.263348393,3.276431036,12.61859368,6.472417246,4.019218832
86.7,0.963989553,3.524267741,4.573720277,4.669401117,4.441380423,11.46716266,9.202291139,3.288167465
86.8,0.541052249,3.942717129,4.942990693,7.890739592,7.857418029,10.00296776,10.92525657,2.700307246
86.9,1.611554008,5.732107418,6.919294009,6.675388382,8.001602928,6.304602159,10.55898807,4.401778088
87,5.819811376,6.602216136,9.061075676,7.651593747,8.130828721,2.283310388,10.06753706,7.176963459
87.1,8.632306546,7.642348142,10.69847942,13.10510099,10.48135991,1.736075829,8.495714365,7.688888765
87.2,7.351135896,8.763744547,12.41061422,12.85434507,10.38477421,3.275523554,6.303831689,7.147116645
87.3,8.034592476,7.477286009,13.69920787,9.362463367,8.002277109,2.717882927,3.761763015,8.717335879
87.4,10.32842712,7.616542162,12.84030806,9.225396354,9.69375361,4.22719842,3.105271503,9.458469092
87.5,8.719707175,7.820695823,10.17713234,7.120756604,9.55309387,5.018400191,4.164330758,6.437804374
87.6,7.197495598,5.23594813,10.48396247,4.318731641,8.741735194,5.071197886,5.085258337,5.520702598
87.7,8.77391797,3.187335083,11.8554279,4.437143626,10.25780183,6.127897134,4.826016747,7.66992321
87.8,8.240732081,2.836077251,10.18917907,6.245726124,10.69789835,8.103670403,5.007657162,6.786749158
87.9,6.066197578,2.466295498,8.867719586,8.652795132,8.622523402,10.62251891,7.033101646,5.621013023
88,5.809870164,2.472986397,9.90613317,13.07199744,8.529267517,12.37652292,7.644034381,7.593195984
88.1,5.352151839,5.272010565,7.310825381,15.46393239,6.913609835,11.42969808,6.348678039,7.484130284
88.2,5.317750838,7.557216786,2.662920482,14.59096859,3.904123058,10.66804294,7.691679406,4.094350121
88.3,5.210903911,9.136051529,2.96430844,14.43746961,3.553955053,9.669087719,9.628996477,3.562124142
88.4,4.53560868,9.072766265,5.207182045,12.22895372,3.244128101,6.614908981,6.976696341,2.951486048
88.5,4.382795224,6.993622667,5.330717481,5.868461628,2.584742829,6.710080189,4.582123715,1.527281574
88.6,4.274082294,6.86202339,5.442739932,1.418236811,3.970496276,7.733378417,5.617742352,2.10358347
88.7,2.790778678,6.102304594,7.64225353,1.612666379,4.877139814,6.245908648,5.91328671,5.130050329
88.8,3.327484536,2.703052249,8.831540803,-0.108601669,4.43298794,7.49173047,4.885371932,7.355562975
88.9,5.597789936,2.867095346,8.699892711,0.0427891184,5.050905271,9.025189776,7.163206176,7.775096523
89,6.414797178,4.850874501,9.43398461,4.741744055,5.679419497,8.659951636,11.03429096,7.570358331
89.1,7.814332144,3.302486362,12.21414164,8.657032626,7.515340236,11.14206339,11.85342299,7.534089291
89.2,8.851695391,4.619814091,12.39548684,9.931597076,9.404623807,14.3125772,11.91694236,7.700259045
89.3,8.184831545,10.04686677,10.687729,11.7527378,10.44075157,13.01025984,12.17018189,7.087354918
89.4,7.1724114,11.19546593,10.55982729,12.66880581,11.69699085,12.21372265,10.57419663,7.302913611
89.5,7.558746795,10.01413994,9.12602579,10.42395393,12.60090217,11.72499892,9.390903406,8.836746003
89.6,7.46839094,9.854602843,6.639751706,8.518462309,9.731293017,7.051089045,8.525288745,9.350883176
89.7,7.337566923,8.472250546,6.749305617,9.818598781,7.948452904,3.389283099,6.329119439,7.859840939
89.8,7.296928037,6.072491707,7.47627145,10.10381935,8.226794737,2.789852652,6.701315286,5.772655623
89.9,6.8059068,3.843305187,5.534935629,8.561063769,6.60713054,1.260310609,6.840726652,5.927040216
90,4.841393903,5.029106699,6.368771213,10.22577861,4.953000778,-0.258244196,4.329454059,6.285805445
90.1,3.551364962,7.256629827,6.290047833,10.64847991,6.655937228,2.799495616,4.362618913,5.8637709
90.2,3.586580187,6.376791945,3.839784608,6.735869618,6.859036436,6.003490209,5.700151571,5.881152885
90.3,3.925886647,4.355377461,3.961470141,5.378468007,5.571249595,7.332347965,5.773642778,6.330700117
90.4,4.232349608,6.662473414,5.519313907,5.320834295,7.365727652,9.777737041,6.757063006,6.443486613
90.5,4.476649282,6.65166331,3.421345293,2.647038995,9.416662315,11.730468,8.080450037,5.581667267
90.6,4.890386594,4.62088027,4.551596176,2.748197906,9.225601677,9.804117515,8.03260183,4.68783147
90.7,5.007477759,5.628554275,7.75803369,4.564452318,9.7119105,6.494258434,8.395980771,4.748905191
90.8,4.918828017,7.383585945,5.925048964,4.254660635,9.805293915,4.669938917,7.229796517,5.961976352
90.9,4.706734424,7.050339226,4.071926,5.742133035,8.034019726,2.773941235,7.363513488,5.121027947
91,6.169783911,6.455315667,6.500278088,8.114136548,6.624896381,1.614373431,8.898822675,3.979465481
91.1,5.647801961,6.353931537,6.612933253,7.765967196,4.214656318,2.565409576,8.114328503,4.13991951
91.2,3.825912005,6.256761035,4.812948881,9.392354277,2.681111947,3.588500247,7.142944275,4.118764441
91.3,3.883534107,6.257017236,6.263401205,10.31978311,3.024405471,4.110918427,8.078798122,3.672882687
