Temperature,A3,B3,C3,D3,E3,F3,G3,H3
90.5,3131.232546,3130.812319,3170.713236,3218.455133,3152.76488,3197.758466,3190.571437,3114.584259
90.6,3130.725384,3130.333012,3170.449285,3218.245946,3151.761811,3196.594579,3189.761905,3114.052872
90.7,3130.262249,3129.815491,3169.756481,3217.859311,3150.911415,3195.841349,3188.963029,3113.619648
90.8,3129.729925,3129.185908,3169.018239,3217.375166,3149.834264,3195.26336,3188.116677,3113.077076
90.9,3129.27785,3128.389749,3168.574508,3216.966236,3148.998793,3194.901829,3187.484791,3112.476575
91,3128.752785,3127.787377,3168.103564,3216.206943,3148.227187,3194.682344,3186.611752,3112.06266
91.1,3128.093215,3127.087649,3167.325389,3215.404088,3147.695625,3194.521951,3185.759841,3111.649554
91.2,3127.656586,3126.515492,3166.825622,3214.614945,3147.35879,3194.161583,3184.995671,3111.236271
91.3,3127.285618,3125.839388,3166.286498,3213.549407,3147.109204,3193.814231,3184.293336,3110.833372
91.4,3126.883104,3125.3094,3165.567974,3212.640318,3146.753154,3193.326781,3183.451243,3110.475718
91.5,3126.565599,3124.94733,3164.780282,3211.990812,3146.479822,3192.776635,3183.098976,3109.972585
91.6,3126.303334,3124.557074,3164.211087,3211.407427,3146.061624,3192.162045,3182.93729,3109.311688
91.7,3125.676763,3124.029876,3163.728827,3211.030683,3145.420448,3191.536193,3182.610254,3108.712333
